Text,label
@FaktaSepakbola Kalo dipikir2 saya pribadi hnya emosi sesaat dan nyata nya klo dicermati fifa jg sudah sering bikin kontroversi pd keputusannya lucunya kl ini fifa sudah tau jauh2 hr bahwa Indonesia ada kejadian kanjuruhan dan israel tp bersikap tanpa kompromi dan prediksi. Save #PSSI #Ganjar,negatif
Selamat malam ketua PSSI pa @erickthohir dan bapa presiden @jokowi. Kita sebagai warga negara Indonesia dan pemain timnas sgt terpukul karena Indonesia batal menjadi tuan rumah pildun u20. Mohon berikan sanksi kpd oknum yang menjadi penyebab masalah ini. #Ganjar #TimnasU20 #PSSI,negatif
"liga 2 di korbankan, uang rakyat di hambur""kan, kenyataan gagal jadi tuan rumah Piala Dunia U-20, Agama politik, olahraga di Indonesia semua di campur adukan demi kepentingan pribadi. 

#Indonesia #Palestine #Israel #FIFAU20 #BANNED #PSSI #GanjarPranowo #PDIP #iwayankoster #PKS",negatif
"Masih KZL sama deramak ini, tapi emang bener sih kata Coach Timnas U20 Jepang 😔#SemangatTimnasU20 #PSSI #AFCU20 https://t.co/cKAd9TpqH8",negatif
Sekarang politikus menyalahkan #FIFA. Ga ada yg berani ngaca. #PSSI,negatif
"Pencabutan status tuan rumah Indonesia adalah murni soal intervensi politik dalam sepak bola. Bukan yang lain. 

Everything under the Indonesia’s sky is religious and political affairs 

#FIFAU20 
#PSSI",negatif
"Sepak bola hanya menyenangkan masyarakat saja, sedangkan sebagian lagi ada yg tidak peduli, yg penting bisa cari makan dgn tenang dlm situasi keamanan dan politik yg kondusif itu jg harua jadi perhatikan, apalagi sudah masuk tahun politik.!!
#FIFA23 #GanjarPranowo #PSSI #FIFAU20",negatif
Yookk puaseee #ganjar #pssi #puasa #bukber #ramadhan  https://t.co/p2HLU8FzIw,netral
"Kecewa si bangat.tapi yaa...terimakasih atas perjuangan semua pihak yang berjuang bersama 
#pssi 
#pssiindonesia 
#fifa 
#pialadunia 
#sepakboladunia 
#sepakbolaindonesia 
#satset 
#BangkitBersamaET https://t.co/su0URbkYqL",positif
"Tangannya di cuci yah pak biar bersih. KOCAK ANDA 

#PSSI #PialaDuniaBatalKarnaIni https://t.co/zfzyBDFng0",negatif
"Ganjar Pranowo mengaku kecewa dengan batalnya penyelenggaraan Piala Dunia U-20 di Indonesia, Ganjar : Ya, Kecewa.

#ganjarpranowo #pilpres2024 #pemiluserentak2024 #jateng #jawatengah #pssi #fifa #indonesia #israel #Palestina https://t.co/BUzzPaHY1I",netral
"""Saya baru baca dari media dan sampai tadi pagi saya tanya belum ada surat yang masuk dari FIFA ke PSSI atau pemerintah, pasti ke PSSI, bunyinya apa,"" ungkap Ganjar.

#ganjarpranowo #catatanganjar #jateng #pilpres2024 #fifa #pssi #perkembangan https://t.co/QWkTX17XPi",netral
"Sedihnya sampai di sini, Pak @jokowi 🙏

#PSSI #FIFA #FIFA23 #WorldCup2023",netral
"""Perjuanganku lebih mudah karena melawan penjajah, namun perjuangan kalian akan lebih sulit karena melawan bangsa sendiri"" - Bung Karno

#FIFA #PSSI #TimnasIndonesia #PialaDuniaU20Indonesia #pialaduniau20batal https://t.co/kav6rKDMRt",positif
"Terimakasih erick thohir atas perjuangan untuk sepakbola Indonesia
#pialaduniau20 
#pssi 
#fifa 
#satsetsatset 
#sepakboladunia 
#sepakbolaindonesia 
#sepakbola https://t.co/Nss07KL77x",positif
"Terimakasih atas perjuangan semua pihak yang berjuang bersama
@erickthohir 
@erick_4best 
@konco_erickthohir 
@pssi 
@fifaworldcup 
#sepakbolaindonesia 
#sepakboladunia 
#pssi 
#pssiindonesia https://t.co/pT8pATGVtj",positif
"Mimpi anak bangsa Hokky
#FIFA #PSSI https://t.co/YCLcc2yBb6",netral
"FIFA Mengumumkan Pembatalan Resmi Piala
Dunia U-20 di Indonesia

Baca Selengkapnya di 
https://t.co/pO6tvwE3uQ

#FIFA 
#PSSI 
#Erick 
#Ganjar https://t.co/N22ScgyloP",negatif
PDIP Bela Ganjar soal Batalnya Indonesia Jadi Tuan Rumah Piala Dunia U-20 https://t.co/nYEX7DOOEX #Pssi,negatif
"Ada yang batal,tapi bukan puasa.apaan tu
#PSSI",negatif
Foto Hitam Putih Media Sosial PSSI yang Penuh Arti https://t.co/vJd2Zk7EVZ #PSSI,netral
Ini sudut pandang yg baik menurut saya .  @PSSI #PSSI #ericktohir @erickthohir  #SepakbolaIndonesia #semuaorang @semuaorangdapatmembalas https://t.co/0IvXcvtjfk,netral
"Nasi sudah menjadi bubur, lalu bagaimana kini selain disyukuri dgn meracik buburnya jadi enak dgn topping penyemangat, walau nanti dihidangkan harus mulai dari nol / awal lagi.
#StopPolitisasiOlahraga 
#IndonesiaBangkit 
#BangkitBersamaET
#U20Indonesia #PSSI
#FairPlay #NoRacism",positif
"@idextratime @tempodotco @FaktaSepakbola ideologi PDIP kah jd dalang Kekuatan terbesar Penolakan israel ? tp Digoreng ke isu ISLAM Ekstrim yg udh SeCuil Upil diberantas Densus‍
klo ideologi PDIP gk da Masalah dgn israel, Pasti Lancar"" aja tuh Piala Dunia
Emg klo soal ISRAEL, PDIP MENDADAK KADRUN ? wkwk #PSSI Golput FIFA",negatif
"#PSMDAY Hari ini laga penentu gelar juara. Kalau menang lawan Madura, kita langsung bisa pesta juara di Makassar. Bismillan Juara! 
#psmmakassar #liga1 #PSSI",netral
"Latobet88 akan segera rilis pertanggal 01/04/2023.
Ayo Daftarkan akunmu untuk Mendapatkan Promo Freebet Rp 10.000 Untuk Deposit Pertama kali.
#latobet88
#lato88
#Bet88situsterpercaya 
#FreebetWinamax 
#freechip
#FIFA
#PSSI 
#Ganjar 
#Israel 
#kecewa 
#tambahlucu https://t.co/mlEFo18aV9",netral
"Yang jelas BUNG KARNO tak melupakan sejarah jika PALESTINA adalah negara yang mendukung kemerdekaan INDONESIA 🇮🇩 
#PSSI #WORLDCUPU20 https://t.co/aT8q53WZZR",positif
"Serius tanya ini artinya apa? 😭
""Ccg nasklenh jeleme ne ci""
#PSSI #Golput",netral
"ideologi PDIP kah jd dalang Kekuatan terbesar Penolakan israel ? tp Digoreng ke isu ISLAM Ekstrim yg udh SeCuil Upil diberantas Densus‍
klo ideologi PDIP gk da Masalah dgn israel, Pasti Lancar"" aja tuh Piala Dunia
Emg klo soal ISRAEL, PDIP MENDADAK KADRUN ? wkwk #PSSI Golput FIFA",negatif
Masa iya negara tidak mampu menyelenggarakan piala dunia sehingga buat drama dan menumbalkan kader partai yang di gadang gadang capres dan cawapres.#PSSI,negatif
"Ya mau gimana lagi? Kacang sudah menjadi toge
#PSSI #pildun23 #puas",netral
"Situs Tergacor, Teraman &amp; Terpercaya👌 Deposit Cepat, Wd Berapapun Pasti Dibayar🔥
https://t.co/JEpi1Mx9hc

#slotgacor #kanjuruhan #FIFA #Indonesia #Israel #PSSI #U20HarusJadi #GanjarPranowo #SahurBCS https://t.co/mOeiHoM3Fb",negatif
"Bersantai dan tetap Berolahraga sambil nikmati kegaduhan ini..😌 

 #TAMBAHLUCU #DPR  #PSSI #JumatBerkah
#tenismeja #billiar #pimpong #sport #Olahraga https://t.co/TJSpbQ4s9s",positif
"@ganjarpranowo @BanhubJateng Ketika pengusulan sbg Host Pildun u20, 2 Gubernur tdb ikut tanda tangan Persetujuan daerahnya utk event tsb. Eh.... ngotot blg tdk menolak Pildun tp Israelnya ditolak. Itu sama aja.. tdk usah bermain kata2.  #Ganjar  #PSSI  #FIFA",negatif
"BERITA KOCAK!!
""PIALA DUNIA U20 GAGAL DI INDONESIA""
@akbar___ 
#PSSI #malamjumat #PialaDuniaU20Indonesia https://t.co/oX7E7c8sZS",negatif
"HARUS ADIL YAH JANGAN HANYA PIALA DUNI U20 SAJA KALIAN TOLAK 

#FIFA #PSSI #TimnasIndonesia #HarusAdil https://t.co/eI2Me66dGe",positif
"Mari merenung sejenak 

Untuk semua hal yang terjadi di negara kita sekarang
Untuk semua hal yang membuat kita terpecah bela
Untuk semua hal yang mengecewakan

Tetaplah ingat semboyan negara kita
Tetaplah ingat ideologi negara kita
#PSSI #pildunu20 #Ciptakerja #Indonesia https://t.co/1wP5dQWDwe",positif
"@jokowi Cuitan Gubernur Jawa Tengah, Ganjar Pranowo saat memberikan pernyataan bahwa dirinya menolak kehadiran Israel di #pialaduniau20 😬

#GanjarPranowo #PSSI #FIFA https://t.co/qtafk747o3",negatif
"Ternyata Banyak Juga Politikus Kita yg Ortodok.
#WorldCup2023 
#PSSI 
#U20WC 
#GanjarPranowo 
#iwayankoster",negatif
Yang paling bertanggung jawab atas batal nya piala dunia u20 di Indonesia ? #PSSI #Ganjar #Golput #FIFA #pialadunia #ErickThohir #Israel,netral
"Ketua Umum PSSI Erick Thohir mengaku, telah berjuang maksimal saat bertemu dengan Presiden FIFA Gianni Infantino untuk mempertahankan agar penyelenggaraan Piala Dunia U-20 tetap berjalan di Tanah Air.
#timnasindonesia #pialaduniau20 #pssi #timnasday #fyp #fypシ #indopos https://t.co/8QOxQO5u9q",positif
"Saya lebih tertarik dengan pasangan ini... 🇮🇩🇮🇩🇮🇩🇮🇩

#PSSI #janganbaper #bukankampanye #PrabowoSubianto #ErickThohir #hakdemokrasi https://t.co/NWuPcOtpVh",netral
"Jadi clear ya.. Pembatalan PIDUN oleh FIFA bukan karna penolakan team israel, tp karna tragedi sepak bola di kanjuruan. Jadi salah sasaran ente ngerujak @ganjarpranowo dan iwayan #PSSI https://t.co/JnTHGc57HI",negatif
"Sebaiknya ganti pelatih untuk Timnas sepakbola kita, misalnya Lionel Messi.
#PSSI",negatif
"TAMBAH LUCU 🤣

#pssi 
PSSI 
Kajol 
FCK MY LIFE 
Mencuri Raden Saleh 
Israel https://t.co/4paPpMmScV",negatif
"“Kan cuma sepak bola” adlh ucapan paling tolol dari seorang pejabat tinggi.
Ada 35.000 rakyat yg mengantungkan hidupnya dari sepakbola
Lantas bagaimana jika setelah ini semuanya dibekukan?
Bisakah bapak bertangung jawab pada hal hal yg katanya hanya “cuma” tersebut?

#PSSI #FIFA",negatif
"Padahal Indonesia sampe milyaran impor senjata dari Israel. Gak ada yang protes. Giliran masalah bola sok2an bilang ini konstitusi. Chuaks
#PSSI #Israel #Kajol",negatif
"SAVE #PSSI
Maju terus bapak @erickthohir 
Demi kebaikan sepakbola indonesia https://t.co/YvjKh7zTAM",positif
"batal lagi , pupus lagi harapan anak negri untuk nunjukin prestasi di pentas dunia 😭 #PSSI #FIFAU20 #FIFAWorldCup",negatif
@erickthohir Semangat Pak @erickthohir . Save #PSSI,positif
"Dunia sepak bola makin gelap pemirsa...gimana nih pendapatmu @tanyakanrl 

#gelap #pssi #pildunu20 https://t.co/qy7f7B36Q3",negatif
"Ada yang BATAL tapi bukan Puasa 🥲🇮🇩

#TimnasU20 #PSSI #FIFA #ErickThohir https://t.co/Y0JcQzJkpF",negatif
"Udah bener-bener dapet kesempatan jalur khusus, malah berujung kasus 🥲

#PSSI",negatif
"Mencintai Sepakbola adalah sakit yang disengaja 🥀🇮🇩💔 
#wordcup #fifa #pialaduniau20 #PSSI",positif
"Semangat untuk teman-teman timnas U20... Kalian hebat
#PSSI #erickthohir2024 #semangat #BangkitBersamaET #IndonesiaBangkit https://t.co/DcjahuZGS6",positif
"Sejumlah pilar Timnas Indonesia U-20 menumpahkan kekecewaan mereka atas dibatalkannya ajang Piala Dunia U-20 2023.

#bolaskorcom #timnasindonesia #pialadunia #pssi   

https://t.co/rl9gaZk7E8",negatif
"Membela dan memperjuangkan hak bangsa lain tidak harus mengubur mimpi anak negeri #u20 #timnasindonesia #pssi #fifa salam damai semangat terus untuk timnas Indonesia ku..🇮🇩✊🇮🇩

Bersama kita 👇
@boston_ricardo_wau 
#salamkopihitam #salamkopipahit #timnasu20 

#bostonricardowau🇮🇩 https://t.co/OzBFBc4zee",negatif
"Udah berapa banyak tenaga, pikiran, materi, dan lainnya yang udah mereka habiskan untuk sesuatu yang hancur dalam sekejap mata ini 🥲
#TAMBAHLUCU
#Gelap
#PSSI
#FIFA

https://t.co/dDDyIU14jX",negatif
"Saran saya min @PSSI, kalau Pemain sudah pakai #PitaHitam, maka Official Timnas berikut Perangkat #PSSI pakai kaos berwarna hitam juga, jangan tanggung2, ekspresikan #Kedukaan ini, karena tercatat dalam sejarah Indonesia dibatalkan menjadi Tuan Rumah #PialaDuniaU20 T. 2023, Tksh",netral
"Klu ada yg bilang kenapa piala Dunia U21 batal? 

Bilang aja karna Abraham kurang sabar menanti janji Tuhan

#pssi
#Israel 
#FIFA 
#FIFAU20",netral
"Mayan masih dikasih JP di HK rek 🤑🔥
Sah JP 2D LURUS CB P1 🤑💣

Monggo yang mau rumusan pasaran lain langsung wa ae rek GRATIS https://t.co/KXAY3GFucL

#angkajitu #prediksitogel #PSSI #keluarantogel #resulthk #aespa #rumustogel #hkpools #hkjitu #FIFA https://t.co/XIPDI3WhXU",negatif
"Coba kalian kerutuk komentar positif kepada Presiden fifa gaes, barang kali dia berubah fikiran. @PSSI #PSSI",positif
"Standar Ganda di FIFA dan pemerintah indonesia ??

#PSSI #indonesia #FIFA https://t.co/7dF8WOXRUG",negatif
@FaktaSepakbola Lupakan lah..nasi udah jadi bubur mari hiling #PSSI https://t.co/QKmVFfKGK2,positif
"@erickthohir anda telah bekerja maksimal, lupakan jadi tuan rumah u 20, lakukan lobi lagi ke FIFA, utk merebut jadi tuan rumah piala dunia u-17, karena Israel tidak jadi peserta, dan Peru yg telah ditetapkan sbagai tuan rumah, sepertinya akan mundur
Ayo, anda Bisa ET
#PSSI",positif
"Special Ramadhan Claim Bonusnya

- Event Kaos , Parcel dan Slot
- Bonus Deposit 25 Free 25

WA : +6282164916240
LINK : https://t.co/TYTWWXLxAa

#Ganjar #FIFA #PDIP #anisd #PSSI #Kecewa #WayV_Phantom_in_JAKARTA #Palestina #Mahfud #Golput #Meisya #Arteria #Bakri #pinghuni45310 https://t.co/C9XwaHr8AD",netral
"2. Kedua pihak ini pula yamg menolak Timnas Israel main di Piala Dunia U-20  yang berujung dicabutnya status Indonesia sebagai tuan rumah yang susah payah Pemerintah dan PSSI perjuangkan. 

#PSSI #pialaduniau20 #TimnasU20 #FIFA",positif
"1. Membaca beberapa hasil survei, tingkat kepuasaan yang tinggi atas kinerja pemerintahan Jokowi itu menjadi insentif positif bagi PDIP dan bahkan Ganjar. Secara elektoral meningkat di kedua pihak. Itu valid. 
#PSSI #TimnasU20 #pialaduniau20 #FIFA",negatif
Dak kuat bayangke! #PSSI #kecewa #GanjarPranowo #Koster #PialaDuniaBatalKarnaIni https://t.co/o8BWzKAcm8,negatif
"Dampak Indonesia Batal Piala Dunia U-20 pada Tragedi Kanjuruhan, Pengamat Sebut Berita Bagus buat Kera Ngalam #PSSI #Kanjuruhan #kerangalam https://t.co/UauZ8FNVrv",positif
"Menurut gw tindakan yang paling keren adalah mengibarkan bendera palestina saat israel tampil di piala dunia U20 ketimbang menolak mereka. Ah iyah lupa  maklum sih mereka kan yang  paling waras dan bener 🤡🤡🤡🤡🤡
#FIFA #PSSI #pialaduniau20 #PialaDuniaU20Indonesia",negatif
@PSSI Masih sempet sempetnya ajig bikin kaya gini. Bgs #pssi,negatif
"Para crew menyambut meriah dengan tepuk tangan untuk ketiga pemain Timnas U20 Arkhan Fikri, Rabbani Tasnim, dan Tito Wiratama yang hadir di Newsroom Metro TV. Tetap semangat dan berjuang untuk sepakbola Indonesia Timnas U20!

#TimnasU20 #PialaDuniaU20 #FIFAU20 #PSSI https://t.co/XieNtHveNW",positif
Ada cerita sekelompok oknum menolak yah*di tampil di piala dunia u 20 tapi karena kekejaman mereka terhadap palestina tapi disisi lain mereka masih menggunakan apk serta  produk yah*di 🤡🤡🤡🤡🤡#FIFA #PSSI #pialaduniau20 #PialaDuniaU20Indonesia,negatif
"Piala Dunia U20 🙏
jadi inget soal ppkn waktu sekolah dulu..

#pialaduniau20 
#PSSI https://t.co/CyA156YJTB",netral
"Berikut Result pasaran Nusantara ( NP ) Hari ini adalah
Result  : 9371
Shio     : Ular
Kami ucapkan selamat kepada para pemenang yang beruntung.

#Wigobet #TogelNusantara #PSSI",netral
"Hasil result pasaran Nusantara ( NP ) hari ini adalah
Tanggal :  30-Maret-2023 
Result : 9371
Shio : Ular 
selamat kepada para pemenang yang beruntung.

#resultnusantara #togelcc #PSSI",netral
Ketika belahan dunia lain khususnya qatar siap jadi pengganti piala dunia U20 + palestina tidak mempermasalahkan israel ikut serta di ajang tersebut sementara itu sekelompok oknum 🤡🤡🤡 ga nerima israel. Situ waras #FIFA #PSSI #pialaduniau20 #PialaDuniaU20Indonesia,negatif
"@AltoLuger apapun omongan bungkarno hormati, cukup hormati aja. tapi juga hormati palestina, negara arab ygmau bermain sepakbola dgn Israel.. Negara arab sdh byk normalisasi hub dg Israel. #PSSI Indonesia harus setara dgn Palestina dan Negara arab.  Ranking Plstine vs RI jauh👇 https://t.co/GneEqTvMWx",positif
"Hokky Caraka salah satu punggawa timnas Indonesia ikut berkomentar pedas yang ditujukan kepada Ganjar Pranowo yang menolak kedatangan Israel sebagai peserta Pildun U 20.

#PialaDuniaU20 #FIFA #PSSI #HokkyCaraka #GanjarPranowo https://t.co/cuXV1oElnK",negatif
"Kekecewaan tengah melanda netizen terkait gagalnya Indonesia menjadi tuan rumah Piala Dunia U 20. Salah satu tokoh yang diserang netizen adalah Ganjar Pranowo.

#PialaDuniaU20 #FIFA #PSSI #HokkyCaraka #GanjarPranowo https://t.co/qIT0ohhuC7",negatif
"Keputusan FIFA tersebut juga didasari oleh pertimbangan situasi terkini, Situasi yang bagaimanakah itu sehingga dinilai membahayakan ajang piala dunia ini?

https://t.co/dhBhN7aNTr

#pialaduniau20 #fifa #u20 #timnas #ganjar #pssi #lpmindustria2023 https://t.co/BCmkD9s3M4",positif
"PSSI akan menyiapkan langkah-langkah agar sepak bola Indonesia tak diganjar sanksi berat. #MediaIndonesia #ReferensiBangsa #PSSI

Sumber: https://t.co/kvYFrDmCCv",positif
"Ada yang BATAL tapi bukan PUASA...
#FIFAU20 #PSSI #pialaduniau20",netral
"Semangat pak Erick Thohir, mimpi mereka mimpi kita semua.
#erickthohir #U20 #pssi https://t.co/llCAUZBDOB",positif
"Semangat pak Erick Thohir, mimpi mereka mimpi kita semua.
#erickthohir #U20 #pssi https://t.co/xgVmvbMztZ",positif
"Gubernur Bali, I Wayan Koster, akhirnya buka suara soal alasannya menolak Timnas Israel berlaga di Bali. KPJ

Selengkapnya:
https://t.co/Edx7BZWLBC

#iNews #GubernurBali #IWayanKoster #Denpasar #TimnasIsrael #PialaDuniaU202023 #News #TimnasIndonesia #InfoBola #PSSI #SepakBola https://t.co/7osZvl2uk4",negatif
"Batal jadi Host Piala Dunia U-20, Wali Kota Surabaya Eri Cahyadi Gercep Izinkan Persebaya Main di GBT
@BanggaSurabaya @persebayaupdate 
#PSSI #pialaduniau20
#FIFA #Israel
https://t.co/Ih361xfN28",netral
"PSSI GELAP
@PSSI 

Semoga di dalam kegelapan ini, kita dapat penerangan di masa yang akan datang. 🇮🇩

#merdeka #gelap #pssi #kecewa #marah #pialaduniau20 #wc20 #indonesia https://t.co/V92bldhCHN",positif
"Elektabilitas Ganjar Pranowo Diprediksi Jeblok Dampak Piala Dunia U-20 Batal, Pengamat: Kena Jebakan Batman
#GanjarPranowo #pialadunia 
#FIFA #Israel #pialaduniau20
#PSSI
@e100ss @WarkopPituLikur
@PSSI @ganjarpranowo
https://t.co/JAMSqhXpSM",negatif
"antara sepakbola dan kemanusiaan 

#PialaDuniaU20Indonesia 
#pssi https://t.co/SoJlRLKnoJ",positif
FIFA lebih memilih penjajah dari pada Indonesia.. terima kasih FIFA. Dengan ini kita semakin tau FIFA itu siapa.. musuh bersama.. #pildunu20 #PSSI,negatif
"Malam ini, 3 pemain Timnas U20 yakni Arkhan Fikri, Rabbani Tasnim, dan Tito Wiratama menghadiri undangan wawancara di beberapa acara Metro TV. Kedatangannya ini disambut hangat para crew yang ada di Newsroom Metro TV.

#TimnasU20 #PialaDuniaU20 #FIFAU20 #PSSI https://t.co/AGmJWUzVEa",netral
"Jauh Melangkah akan finish di tujuan.
Serpihan dan Lubang_lubang akan mengokohkan langkah sampai di finish.
#Bholaa #IlhamFadli #FIFA #Pssi #TATAIPL #IYE #Survivor https://t.co/11CGWW7odb",netral
Sakit tapi tak berdarah #PSSI,negatif
"Semangat pak Erick Thohir, mimpi mereka mimpi kita semua.
#erickthohir #U20 #pssi https://t.co/RuQayhXKoV",positif
"Bismillah ikhtiar @erickthohir  membawa berkah untuk Indonesia.

Besar harapan kami, @erickthohir dapat kembali selamatkan sepak bola Indonesia. 

#erickthohir #sepakbola #fifa #ketumpssi #pssi #pialadunia #pialaduniau20 #sanksi #timnas #timnasu20 #garudamuda #ligaindonesia https://t.co/mImAdzaKB5",positif
"Ganjar Pranowo Tak Mampu Baca Pikiran Jokowi, Rocky Gerung: Soekarno Kaget kok Namanya Dibawa-bawa #Ganjar #FIFA #PSSI https://t.co/vUlQBNHaoi",negatif
"Beri saya 10 pemuda maka akan kuguncang dunia
Dan beri saya 11 pemuda maka akan saya hancurkan mimpi-mimpinya.......
#PSSI",positif
"Pelatih Timnas Indonesia U-20, Shin Tae-yong, menyebut timnya masih berpeluang tampil di Piala Dunia U-20 2023. KPJ

Selengkapnya:
https://t.co/V5LXuUznwv

#iNews #ShinTaeyong #TimnasIndonesia #News #PialaDuniaU20 #ZainudinAmali #InfoBola #PSSI #SepakBola https://t.co/k8v1sip3Jr",positif
"Besar harapan kami, @erickthohir dapat kembali selamatkan sepak bola Indonesia. Selamat berjuang kembali pak

#erickthohir #ericksolusi #ketumpssi #pssi #pialadunia #pialaduniau20 #fifa #sepakbola #sepakbolaindonesia #timnas #timnasu20 #liga1 #liga2 #liga3 #ligaindonesia https://t.co/coOmPMpqSH",positif
"FIFA memBATALkan world cup U20 yg penting PUASA TIDAK BATAL, yg pasti
1.Israel tetap main Bola 
2.Palestina tetap di jajah Isreal
3. Indonesia hanya main tik tok 
#worldcupu20 #Israel #Palestine #puasa #batal #nkrihargamati #PSSI #TikTok #Sepakbola",negatif
"@hand_oy @AltoLuger apapun omongan bungkarno hormati, cukup hormati aja. tapi juga hormati palestina dan negara arab ygmau bermain sepakbola dgn Israel.. Negara arab sdh byk normalisasi hub dg Israel. #PSSI Indonesia harus setara dgn Palestina dan Negara arab.  Ranking👇 https://t.co/IJ7EwpU9G3",positif
"Indonesia tanpa sepakbola (mungkin) lebih indah,, mungkin ya,, #fifaworldcupu20 #bangsat #GanjarPranowo #iwayankoster #PSSI #kecewa",positif
