Text,label
"lanyalla juga mengapresiasi ribuan supporter indonesia sugbk selalu memberikan semangat Asnawi dkk. suporter luar biasa, tertib n tak henti bernyanyi mendongkrak semangat pemain.",positif
"istilah permainan organisasi , menurut saya bagus , memang finishing masih bermasalah , beberapa peluang gol babak kedua pertama , sebut lanyalla pssi lanyallaforpssi",positif
"Lanyalla, yang juga menjabat Ketua Umum PSSI Asprov Jatim, terlihat bersemangat melihat beberapa peluang timnas gagal menjadi sasaran Lanyalla PSSI, Lanyallaforpssi.",negatif
"``pemilih komunitas sepak bola tetap ingin kembali, tentu siap secara fisik,`' sebut Lanyalla laga Timnas Indonesia Vietnam, Lanyalla PSSI, LanyallaForpssi",positif
saya senang melihat kembali stadion merinding lihat sosok rindu kirain orang sepak bola indonesia juga kangen kerja bangkitkan sepak bola indonesia say la nyalla pssi lanyalla for pssi,positif
ahmad riyadh say happy lanyalla come gbk stadium directly support lanyalla pssi lanyallaforpssi national team,positif
"menurutnya sosok lanyalla layak diketuai umum PSSI. pengembangan komitmen sepak bola perlu diragukan lagi , katakanlah , lanyalla pssi , lanyallaforpssi",positif
"Lanyalla present Gelora Bung Karno Stadium watch semifinal first leg AFF Cup Friday , Lanyalla PSSI , Lanyallaforpssi",positif
jakarta name chairman dpd ri aa lanyalla mahmud mattalitti candidate become general chairman pssi name lanyalla carry asprov pssi east java lanyalla pssi lanyallaforpssi,positif
chairman dpd ri watch match asprov east java national team ready stretch lanyalla become chairman pssi lanyalla pssi lanyallaforpssi,positif
great already lanyalla lanyalla pssi pssi,positif
timnas vietnam indonesia kembali berlaga leg kedua semifinal piala aff dua tim imbang leg pertama bolaskorcom,positif
turn lanyalla lanyalla for pssi pssi,netral
"Sumedang Deputy Regent high hope new ASkab PSSI board , Agusmuslim PSSI , Sumedang Pioniraskab Regency",positif
free link live streaming vietnam v indonesia aff cup semifinal leg shin tae yong must win national team day national team indonesia cup aff pssi,positif
semi final leg ii vietnam v indonesia monday jan wib dinh national stadium bolapelangi bolapelangi worldcup qatar pssi football ball affchampionship national team national teamindonesia garudaindonesia indonesia troop garuda,netral
"pak , pemimpin serba bisa membangun bangsa , membenahi ekonomi sepak bola indonesia , mau wakil presiden ketua pssi , pasti mengawal rebes erickthohir , bangkit bersama indonesia , memajukan sepak bola pssi fifa liga",netral
"selamat jalan pak, selamat merayakan PSSI Lanyalla",positif
leg viet v idn senin jam januari wib masuk banyak enterbola affcup tembus hdp handicap marketbola viral kitagaruda jadwal pertandingan hari timnas ultrasgaruda pssi,netral
different story PSSI La Grande Indonesia LGI support group regard problem PSSI Paspampres,netral
bolo ball lanyalla lanyalla pssi lanyalla for pssi,netral
bolo ball lanyalla lanyalla pssi lanyalla for pssi,netral
turn lanyalla lanyalla for pssi pssi,netral
"nonton PSSI TV, timnas terbang Hanoi, pemain cadangan suruh dorong stroller, pile good, pemain inti bawa ransel, wkwkwkwkwk, timnas indonesia PSSI",positif
Phs say n't talk much buktikan field gila n't open challenge vietnam coach strip garuda punggawa jual beli bismillah insyaallah allahuakbar pssi affmitsubishielectriccup,negatif
jelang leg kedua babak semifinal aff cup vietnam v indonesia ratus volunteer dikabarkan kompak bersihkan dinh stadium pertandingan berlangsung affcup pssi,positif
"Pelatih Utama Timnas Indonesia, Shin Tae Yong, Sebut Skuad Berpeluang Menangi Vietnam Leg Kedua Semifinal Piala AFF, Timnas Indonesia Hari PSSI",positif
Ratusan suporter gerakan sepak bola rakyat GSR menuntut PSSI bertanggung jawab atas tragedi rekomendasi PSSI,netral
try sit still fight golden opportunity fail score goal difficult do Menpora PSSI Zainudinamali Iwanbule GBK Gelorabungkarno Lag .,negatif
preview leg vietnam v indonesia national team aff cup semi-finals Indonesian national team day pssi vietnam indonesia national team aff cup,netral
optimistis Timnas Indonesia Skuad Garuda raih Trofi Bola Sepak AFF Angkat Tinju Kita Timnas Garuda PSSI Iwan Bule,positif
vietnamese legend awe indonesian national team aff pssi cup indonesia vietnam national team,netral
jadwal semifinal second leg piala aff timnas vietnam vs timnas indonesia piala aff pssi siaran langsung timnas indonesia,positif
"Kunci Percaya Diri Kemenangan Timnas Indonesia, Piala AFF PSSI Shin Tae Yong, Timnas Indonesia, Vietnam",netral
general secretary official captain askab pssi kediri kediri abdu Firman kelana elect chairman askab regency association football association sport kediri persedikabkediri pssi via,positif
"fast WD depo process main ball Indonesian football , PSSI",positif
"Gembira lihat Timnas Juara AFF, susah minta ampun, pusat latihan butuh materi pembinaan bola usia dini, akar rumput benahi Timnas Indonesia PSSI",positif
beli tiket nonton timnas beri dukungan penuh koreografi terjadi creative security customer support n tidak ada tiket mahal kreativitas diam PSSI,positif
potong angsa bebek tahu menghadapi masalah umum sepak bola nasional perlu berpikir monaco angkat tinju tim nasional tim nasional PSSI,negatif
lebih suka kekuatan jantung berdetak cepat menonton pertandingan orang.,positif
"Pelatih Vietnam menyindir Timnas Indonesia menggunakan pemain naturalisasi Parkhangseo, Timnas Piala AFF PSSI Vietnam",netral
"Dulu, setiap perhelatan olahraga berskala nasional Stadion Utama Senayan GBK akan menampilkan berbagai konfigurasi koreografi yang dilakukan ribuan mahasiswa, tak lupa menampilkan wajah Presiden Suharto, Lo Paspampres, PSSI, foto lainnya.",negatif
memperingati keberangkatan legenda brazil pele pele presiden fifa gianni infantino urutan nama anggota federasi satu stadion pele bolaskorcom pele ripplele brasil legenda piala dunia pssi,netral
asnawi mangkualam best player man match match indonesian national team vietnam indonesian national team aff gal cup asnawimangkualam affmitsubishielectriccup vietnam thegoldenstar pssi newsbola bola,positif
tetap cinta meski sering mengecewakan timnas ultras garuda pssi indonesia,positif
"Mafia Bola Asia Tenggara, Nonton AFF Cup, AffMitsubishiElectricCup, PSSI Vietnam",netral
rekrut park hang seo jadi pelatih timnas duet senior timnas sty sty youth development division handle keisuke honda liga development division dll kerjasama pssi korea bismillah sweet dream first pssi,positif
dilapidate affmitsubishielectriccup indonesiavsvietnam referee deflate pssi garuda afc fifa,netral
press release chairman dpd ri friday january chairman dpd ri watch match asprov east java national team ready stretch lanyalla become general chairman next pssi chairman dpdri lanyalla region indonesia pssi spiritlanyalla,positif
Hasil Imbang Tanpa Gol Timnas Indonesia Semifinal Leg Vietnam Stadion Utama Bung Karno Affcup Semifinal Affmitsubishielectriccup Timnas Indonesia Timnas PSSI Hari Kitagaruda Timnas Indonesia,positif
"kata , Indonesia tampil luar biasa hari ini , semoga leg kedua masih menerbangkan Garuda PSSI",positif
coba tahu jika wasit tolong dispill affmitsubishielectriccup wasit pssi indonesia vietnam,netral
"Jokowi nonton , buat suporter kecewa , kerja , jangan nonton bola , Hari Timnas , Paspampres , Ultrasgaruda PSSI , Timnas PSSI",netral
Pertandingan kali ini menampilkan tim Indonesia bermain Psigaruda Affmitsubishielectriccup team work,netral
kumaha national team game earlier still optimistic source PSSI Indonesian National Team PSSI Indonesian Football Indonesian National Team Day Haseum p,negatif
"hari tim nasional bermain kandang tidak bisa kebobolan Vietnam bermain pemain pelatih vietnam lucu , PSSI",positif
full time final score Indonesia v Vietnam hope second leg Indonesia win advance final aff link register kode promo pendaftaran xcuantrs pssi affmitsubishielectriccup timnas,positif
point score end first leg semi final match aff cup indonesia vietnam semoga second leg nanti timnas indonesia menang,positif
datang strategi serangan super menit wajah letih wajah senyum merobek piala timnas hari PSSI,positif
indonesia v vietnam draw score last halftime cupaff indonesiavsvietnam national teamindonesia vietnam aff affcup national teamday pssi late football news,negatif
var sangat membutuhkan kompetisi liga asia khususnya asia tenggara saatnya sepak bola asia tenggara mengikuti tren modern,negatif
football nothing without fan voice voice la grande national team day jokowi pssi,netral
live semifinal aff indonesia v vietnam aff cup semifinal via affmitsubishielectriccup national teamday national teamindonesia pssi semifinal,positif
near station gbk palmerah station kebayoran station along information national team day pssi,positif
"Profil Shayne Patty , ayo ketemu timnas indonesia , naturalisasi shaynepatty , nama timnas , ayo Indonesia PSSI",netral
hari timnas pssi lanjutkan perjuangan,netral
wait national team action Indonesia v Vietnam score Aff PSSI Indonesiajuara football team,positif
ebod jaya academy kebumen menikmati proses satu tahun lagi menjadi pemain tim nasional sepak bola kepala prescup piala dunia juara piala dunia pssi,positif
national team day start xi indonesia national team semi final leg indonesia v vietnam finish win affcup affmitsubishielectriccup semifinal indonesia national team pssi national team day kitagaruda indonesia national team,positif
accommodate aspiration complaint well wish family victim poor unfortunate kanjuruhan update javatimur indonesia polri precision police indonesian police police polresmalang polresmalang care viral kanjuruhan aremania aremafc pssi poldajatim humaspolri,negatif
pssi try succeed first leg aff cup semi-final indonesian national team vietnam bolaskorcom pssi indonesian vietnam national team,positif
"Selain meminta Jokowi fokus ke Timnas, juga menitipkan pesan pentingnya kerjasama yang solid dalam tim menjauhkan ego Jokowi Timnas PSSI President Timnas Vietnam Semi AFF Indonesia Semi Semi AFF Cup AFF AFF Shintaeyong AFF Cup",netral
tanda centang tombol taruhan asuransi tanda centang tombol tempat taruhan asuransi taruhan kalah bayar kembali pengembalian sesuai jumlah tempat taruhan daftar tautan kode promo pendaftaran xcuantrs xbetbonus pssi indonesiajuara prediksiparlay,netral
dukung bingkai foto timnas indonesia twibbon timnas indonesia download app backhand index point backhand index point indonesia backhand index point indonesia backhand index point indonesia backhand index point hari timnas timnas indonesia affmitsubishielectriccup affmitsubishielectriccup affcup pssi garuda kitagaruda,netral
photo frame indonesia twibbon timnas indonesia download aplikasi backhand index point indonesia backhand index point indonesia backhand index point indonesia backhand index point indonesia backhand index point hari timnas indonesia timnas indonesia affmitsubishielectriccup affmitsubishielectriccup affcup pssi garuda,netral
kertas berbahaya?,negatif
perlu cod gbk gate kucing utara kucing utara aff mitsubishi listrik piala piala aff hari kerja nasional pssi,netral
selesai rapat tanya join striker nanti sore tolak keras udah tanya langsung bos beam face smile eye pssi affsuzukicup timnas indonesia timnas,positif
national team afternoon Bung Karno main stadium live RCTI semi-final leg Indonesia v Vietnam finish win affcup affmitsubishielectriccup semifinal indonesia national team pssi national team day kitagaruda national teamindonesia,positif
Jordi fearless Vietnam . Jordiamat PSSI Vietnam National Team Aff Cup,netral
"Timnas Indonesia lolos semifinal leg pertama Piala AFF menghadapi Vietnam SUGBK sore hari, tim merah putih mendukung pertandingan bolaskorcom, timnas Indonesia, piala affcup affcup affcup pssi affmitsubishielectriccup timnas hari ini",positif
"Fact data schedule Indonesian national team v Vietnam , AFF Cup , PSSI Shintaeyong , Indonesian National Team Vietnam",netral
national team day indonesia indonesia indonesia champion ridwan kamil stole raden saleh android moana vagabond democracy quixote mulan mulan,netral
Doa Timnas Indonesia Juara Piala AFF Vietnam INDVSL Hari Timnas PSSI,positif
AFF Indonesia v Vietnam semifinal later evening GBK PSSI ask supporter take care behavior National Team Day Indonesia Vietnam AFF Semifinals Sugbk PSSI,netral
"head PSSI supporter development division , Budiman Dalimunthe , assure security AFF Cup semifinal match would tighten PSSI",netral
gt spain la liga gt valencia v cadiz cf gt saturday january gt wib bolapelangi bolapelangi bolapelangi bolapelangi fund ovo gopay ewallet linkaja pssi spain spainlaliga valencia cadizcf,netral
mempermalukan pertandingan semifinal bermain tuan rumah sore bermain malam ini piala dunia ingin menahan wajah pagi air mata kegembiraan wajah air mata kegembiraan hari tim nasional pssi,positif
semi-final schedule indonesian national team v vietnam leg home main stadium gelora bung karno january leg away dinh stadium hanoi january affcup affmitsubishielectriccup semifinal indonesia national team pssi national teamday,positif
luckily n't run PSSI Indonesian national team,positif
bib tanya pemain timnas khusus muslim makan halal ayo kalah pemain timnas makan halal pssi,netral
"fast WD depo process main ball Indonesian football , PSSI",positif
pratama arhan list top afc player afc cup aff pratamaarhan pssi indonesian national team,positif
speak head manfaatkan setiap kesempatan percaya pertandingan semifinal nanti tunjukkan permainan yang berbeda rasakan tim mengalami perkembangan positif say mys pssi iwan bule juara nasional aff,negatif
wts ticket aff mitsubishi cup semi final indonesia v vietnam kategori main east price chat wa affmitsubishielectriccup national teamday pssi,positif
"Timnas Indonesia melewati jalan terjal final Piala AFF, PSSI Timnas Indonesia, Vietnam",netral
Indonesia ready Ladeni Vietnam Soccer Ball Trophy Indonesia v Vietnam Cupaff AffmitsubishiElectric Cup PSSI INDVSSL Vietnam National TeamIndonesia National Day,positif
schedule semifinal aff championship gt gt gt bolapelangi bolapelangi pssi soccer ball affchampionship indonesia national teamindonesia garudamuda indonesia malaysia thailand vietnam semifinal,netral
receive deposit via ewallet bolapelangi new member bonus daily deposit bonus link registration link wa bolapelangi bolapelangi bolapelangi bolapelangi fund ovo gopay ewallet linkaja pssi,positif
"Beruntung Nadeo Argawinata memilih atlit sepak bola ketimbang aktor influencer. atlet asli kulit langsat indonesia selain Nadeo Argawinata , artis indonesia , affmitsubishielectriccup , affcup , aktor pribumi , Indosiar , RCTI , PSSI , atlet ?",positif
big hope ketum pssi naturalization shayne pattynama approve president jokowi bolaskorcom pssi indonesian national team naturalize,netral
push Indonesian football revolution . Indonesian observer blacklist old PSSI official recommend PSSI Revolusipssi Sigit,positif
Menko Polhukam Mahfud MD mengatakan kelompok masyarakat memahami pelanggaran HAM berat Mahfudmd meminta sepak bola Indonesia meratapi Tragedi PSSI Komnasham Menkopolhukam Pemerintah Pusat,positif
presidential decree naturalization shayne pattynama sign president jokowi bolaskorcom national teamindonesia pssi jokowi,netral
"hope future Indonesia Indonesia create player like Japan , course government must also support Ri PSSI club academy region Indonesia Japan PSSI",netral
say cristiano ana experience beam face smile eye congratulation join best club asia semoga homeland club kesempatan fight cristiano ronaldo cristiano ronaldo ronaldo day pssi,positif
depostbali PSSI open ticket sale AFF Mitsubishi Electric Cup semifinal match Indonesia Vietnam .,netral
wts aff indonesia semi final ticket january 'm sell category ada yang minat pm langsung fold hand affmitsubishielectriccup affcup pssi timnas indonesia,positif
putuskan berkas permohonan naturalisasi shayne pattynama setujui tanda tangan bapak presiden joko widodo satu langkah keluar wni sumpah bintang api mogok indihome witelsumsel shaynepattynama timnas indonesia,netral
"info ticket semi-finals national team Indonesia v Vietnam gbk , cat west affmitsubishielectriccup pssi",netral
"cuti tunggu sumpah warga , gan , angkat tangan , proses selanjutnya ambil sumpah kanwil Kemenkum HAM , provinsi DKI Jakarta , congrats , Shaynepatty , nama Timnas Indonesia PSSI Kemenpora , Indosport Football",netral
"PSSI release ticket semifinal first leg AFF Cup , bolaskorcom , PSSI , Affcup Cup",positif
"Jelang kongres bursa, calon ketua umum PSSI Agam sepi peminat via Infosumbar PSSI Agam",positif
"tottenham hotspur striker richarlison catch attention Indonesian netizens upload video goal celebration carry marselino ferdinan wow interested wear Garuda team uniform , bolaskorcom national teamindonesia cup aff affcup affcup pssi",positif
Indonesia champion AFF Cup ? Affmitsubishielectriccup PSSI Twitch,netral
follow schedule english premier league bolapelangi bolapelangi worldcup qatar pssi epl football englishpremierleague southampton nottingham nottinghamforest leedsunited westhamunited astonvilla wolverhampton crystalpalace tottenhamhotspur,netral
pssi umumkan harga tiket first leg aff cup semi final timnas indonesia k ball newsbola k bolanews rumor,positif
"Sebelumnya, Shayna Pattynama mendapat persetujuan Komisi II DPR RI naturalisasi PSSI Timnas Indonesia",negatif
"merekam pertandingan memutar ulang introspeksi diri pemain. Tim nomor satu, ego simbol Garuda, sapa, salam nama, nama besar Indonesia menggemakan PSSI",netral
late news regard injury nadeo argawinata pssi return train nadeoargawinata national team keeper nadeoargawinata cupaff pssi,negatif
PSSI Mulai Jual Tiket Semifinal AFF Cup PSSI Mulai Jual Tiket Semifinal Pastikan Lolos Empat Besar Tiket PSSI AFF Cup Timnas Indonesia,positif
"Tiket semifinal Piala AFF dibeli Timnas Indonesia dengan harga murah, Rp. 1.000.000",positif
PSSI open ticket sale AFF Cup AFF Cup semifinal,netral
PSSI melepas tiket semifinal Piala AFF. diskon besar . Ayo buruan beli PSSI,netral
sir ib track record perfect n't ever forget even underestimate owner world mala angkuca icwara thread arema aremania aremanita pssi fifa malangkucecwara malang malangraya kotamalang iwanbudianto arekmalang wongmalang boycottaremafc,positif
percaya Vietnam main pemain psikologi mulai staf pelatih pemain bahkan wasit psikologi protes pemain timnas harus siap PSSI Timnas Indonesia Indonesia v Vietnam affmitsubishielectriccup,positif
info presale semi final ticket national team indonesia v vietnam gbk dong cry face affmitsubishielectriccup pssi,netral
"masukan media sepakbola indonesia , kitagaruda , pssi , timnas indonesia . Pujian beri apresiasi tinggi bagi penyedia assist skor gol pertandingan sepak bola Pesepakbola Indonesia tahu arti assist, umpan.",negatif
PSSI Bandung City consistently train young player become professional player Sagaranesia PSSI Bandung City Bandung Young Professional Players,positif
"fast WD depo process main ball Indonesian football , PSSI",positif
wow shin tae yong mengecewakan pelajar timnas indonesia shintaeyong filipinavsindonesia aff cup aff cup football liga sepak bola indonesia newsbola timnas pssi sport newsbola,positif
segera resign sty fifaworldcup pssi timnas indonesia hari gol,netral
"iwan bule, siapapun lawan semifinal skuat Garuda harus siap affcup PSSI Timnas Indonesia semifinal Piala FA lewat berita sepak bola",negatif
arsenal v newcastle united january wib official account bolapelangi bolapelangi co id bolapelangi bolapelangi bolapelangi worldcup qatar pssi football epl englishpremierleague,netral
skema skor gol gila yang indah merayakan gaya Richarlison .,positif
"Indonesia jago banget maen bola, salah satunya jago maen bola Timnas PSSI",positif
alhamdulillah good result marselino goal post please richarlison fast like info PSSI,positif
Kecewa maen timnas istilah fisik lemah teknik n ga masalah pemain bagus label pemain timnas come timnas berkualitas orang terbaik seperti hari timnas pssi timnas bapuk affcup,positif
Timnas Indonesia sukses menuntaskan poin kemenangan tandang ke Filipina membuat skuad Garuda menempati posisi runner up grup Piala AFF lolos semifinal.,positif
info wkwkwk Marcelino 's celebration immediately post original pombo alias richarlison wkwkw great pssi,positif
"Indonesia berpeluang bertemu Vietnam, besok menghadapi Myanmar. Saat ini, Vietnam masih memimpin Grup B, menyusul Singapura Malaysia.",netral
harus mengevaluasi finishing pelatih PSSI,netral
